entity_id,display_name,cities,profile_type,primary_handle,contactability,score,stage,business_fit_candidates,platform,canonical_url,username,follower_count,audience_band,verification_status,source_url,discovery_source_url,evidence_url
36a4fd7109d201f42327,Diana Gabdullina,Батуми,author_or_channel,gabbydi,manual_only,70,worth_checking,riderra,youtube,https://www.youtube.com/@gabbydi,gabbydi,15,nano,original_profile_opened,https://www.youtube.com/@gabbydi,https://www.youtube.com/results?search_query=%D0%91%D0%B0%D1%82%D1%83%D0%BC%D0%B8+%D0%BF%D1%80%D0%BE%D0%B3%D1%83%D0%BB%D0%BA%D0%B0+vlog&hl=ru,https://www.youtube.com/watch?v=DDTVhc3-H3g
458697c4ad4762885456,Dylan Sadler,Батуми,author_or_channel,dylantsadler,manual_only,70,worth_checking,,youtube,https://www.youtube.com/@dylantsadler,dylantsadler,2000,nano,original_profile_opened,https://www.youtube.com/@dylantsadler,https://www.youtube.com/results?search_query=Batumi+expat+vlog&hl=ru,https://www.youtube.com/watch?v=mKdOvQVnyRE
bd21d9d6d0dfed37892d,Elizabeth Saveleva,Батуми,author_or_channel,elizabeth.saveleva,manual_only,70,worth_checking,riderra,youtube,https://www.youtube.com/@elizabeth.saveleva,elizabeth.saveleva,29,nano,original_profile_opened,https://www.youtube.com/@elizabeth.saveleva,https://www.youtube.com/results?search_query=%D0%91%D0%B0%D1%82%D1%83%D0%BC%D0%B8+%D0%BF%D1%80%D0%BE%D0%B3%D1%83%D0%BB%D0%BA%D0%B0+vlog&hl=ru,https://www.youtube.com/watch?v=DhcpKFkfCgU
e620f6b7344af5a846ef,Elizabeth Zaitseva,Батуми,author_or_channel,ElizabethZaitseva,manual_only,70,worth_checking,riderra,youtube,https://www.youtube.com/@ElizabethZaitseva,ElizabethZaitseva,413,nano,original_profile_opened,https://www.youtube.com/@ElizabethZaitseva,https://www.youtube.com/results?search_query=Batumi+vlog&hl=ru,https://www.youtube.com/watch?v=J1OyfEcT_pk
be96665b433cbd159eb9,Elmira Gadzhyieva,Батуми,author_or_channel,elmiragadzhyieva,manual_only,70,worth_checking,riderra,youtube,https://www.youtube.com/@elmiragadzhyieva,elmiragadzhyieva,2150,nano,original_profile_opened,https://www.youtube.com/@elmiragadzhyieva,https://www.youtube.com/results?search_query=Batumi+beauty+vlog&hl=ru,https://www.youtube.com/watch?v=TufFgKiEyyc
23f183747f764e352736,ESENIYA WOW,Батуми,author_or_channel,ESENIYAWOW,manual_only,70,worth_checking,intellectum,youtube,https://www.youtube.com/@ESENIYAWOW,ESENIYAWOW,260,nano,original_profile_opened,https://www.youtube.com/@ESENIYAWOW,https://www.youtube.com/results?search_query=%D0%91%D0%B0%D1%82%D1%83%D0%BC%D0%B8+%D1%81+%D0%B4%D0%B5%D1%82%D1%8C%D0%BC%D0%B8&hl=ru,https://www.youtube.com/watch?v=YWIAXKXAVMA
6fbc850157153e6f72bd,Explore with Nana,Батуми,author_or_channel,ExplorewithNana,manual_only,70,worth_checking,,youtube,https://www.youtube.com/@ExplorewithNana,ExplorewithNana,1200,nano,original_profile_opened,https://www.youtube.com/@ExplorewithNana,https://www.youtube.com/results?search_query=Batumi+restaurants+vlog&hl=ru,https://www.youtube.com/watch?v=P_J2eDoSCMY
a4cd324a8ef8768a6763,Florian Wilk - Cyprus Wealth Navigator,Батуми,author_or_channel,CyprusWealthNavigator,manual_only,70,worth_checking,,youtube,https://www.youtube.com/@CyprusWealthNavigator,CyprusWealthNavigator,286,nano,original_profile_opened,https://www.youtube.com/@CyprusWealthNavigator,https://www.youtube.com/results?search_query=Batumi+expat+vlog&hl=ru,https://www.youtube.com/watch?v=IhHiZGdS1vE
168277b98189d4f10725,GABI-M🎧,Батуми,author,mari.gabaidze,manual_only,72,worth_checking,,instagram,https://www.instagram.com/mari.gabaidze,mari.gabaidze,40000,micro,original_profile_opened,https://www.instagram.com/mari.gabaidze,https://collabstr.com/top-influencers/instagram/in/georgia/batumi,
168277b98189d4f10725,GABI-M🎧,Батуми,author,mari.gabaidze,manual_only,72,worth_checking,,threads,https://www.threads.com/@mari.gabaidze,mari.gabaidze,6600,micro,public_index_verified,https://threadlook.com/profile/mari.gabaidze,https://collabstr.com/top-influencers/instagram/in/georgia/batumi,
