entity_id,display_name,profile_type,primary_handle,contactability,score,stage,business_fit_candidates,lead_seeded,platform,canonical_url,username,follower_count,audience_band,verification_status,source_url,discovery_source_url,evidence_url
39292fee37d0a6eca79b,99 lvl,author_or_channel,99lvl,manual_only,65,worth_checking,,False,youtube,https://www.youtube.com/@99lvl,99lvl,31300,micro,original_profile_opened,https://www.youtube.com/@99lvl,https://www.youtube.com/results?search_query=%D0%9D%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9+%D1%80%D0%B0%D0%B9%D0%BE%D0%BD+%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3+%D0%B1%D0%BB%D0%BE%D0%B3&hl=ru,https://www.youtube.com/watch?v=CnaqJjWmkBg
0fd785ac1c5a91b4ab6a,@новострой юг,author_or_channel,%D0%BD%D0%BE%D0%B2%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B9-%D1%8E%D0%B3,manual_only,70,worth_checking,,True,youtube,https://www.youtube.com/@%D0%BD%D0%BE%D0%B2%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B9-%D1%8E%D0%B3,%D0%BD%D0%BE%D0%B2%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B9-%D1%8E%D0%B3,88,nano,original_profile_opened,https://www.youtube.com/@%D0%BD%D0%BE%D0%B2%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B9-%D1%8E%D0%B3,https://www.youtube.com/results?search_query=%D0%A2%D0%9A+%D0%9F%D1%80%D0%BE%D0%BC%D0%B5%D0%BD%D0%B0%D0%B4+%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3+%D0%BE%D0%B1%D0%B7%D0%BE%D1%80&hl=ru,https://www.youtube.com/watch?v=mkioXEwSEFE
a0bc627c0c8d4f7c1d00,[ погружение ],author_or_channel,pogruzhenie,manual_only,65,worth_checking,,False,youtube,https://www.youtube.com/@pogruzhenie,pogruzhenie,18500,micro,original_profile_opened,https://www.youtube.com/@pogruzhenie,https://www.youtube.com/results?search_query=%D0%BA%D0%BD%D0%B8%D0%B6%D0%BD%D1%8B%D0%B5+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD%D1%8B+%D0%9F%D0%B8%D1%82%D0%B5%D1%80+shorts&hl=ru,https://www.youtube.com/watch?v=LUHWFqMGidg
609760a20e356fe06e8e,abajur1977,author_or_channel,abajur1977,manual_only,70,worth_checking,,False,youtube,https://www.youtube.com/@abajur1977,abajur1977,889,nano,original_profile_opened,https://www.youtube.com/@abajur1977,https://www.youtube.com/results?search_query=%D0%9D%D0%BE%D0%B2%D0%B0%D1%8F+%D0%93%D0%BE%D0%BB%D0%BB%D0%B0%D0%BD%D0%B4%D0%B8%D1%8F+%D1%81%D0%B5%D0%BC%D0%B5%D0%B9%D0%BD%D1%8B%D0%B9+%D0%BE%D0%B1%D0%B7%D0%BE%D1%80&hl=ru,https://www.youtube.com/watch?v=stm8BL47Fqk
b1f76d95021d69ad5a91,acoolakids,author_or_channel,acoolakids,manual_only,70,worth_checking,veselaya_rascheska,True,youtube,https://www.youtube.com/@acoolakids,acoolakids,563,nano,original_profile_opened,https://www.youtube.com/@acoolakids,https://www.youtube.com/results?search_query=Acoola+%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3+%D0%BE%D0%B1%D0%B7%D0%BE%D1%80&hl=ru,https://www.youtube.com/watch?v=LJPXXcQA2aI
f57d6d0fe369d6a54d95,Across the runiverse,author_or_channel,Acrosstheruniverse,manual_only,65,worth_checking,,False,youtube,https://www.youtube.com/@Acrosstheruniverse,Acrosstheruniverse,34900,micro,original_profile_opened,https://www.youtube.com/@Acrosstheruniverse,https://www.youtube.com/results?search_query=%D0%BB%D1%83%D1%87%D1%88%D0%B8%D0%B5+%D0%B1%D0%B5%D0%B3+%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3&hl=ru,https://www.youtube.com/watch?v=ac8TWKrC2_M
a3a021f7c9541be6bf5d,Activatica (Активатика),author_or_channel,Activatica,manual_only,55,needs_manual_review,,False,youtube,https://www.youtube.com/@Activatica,Activatica,195000,mid,original_profile_opened,https://www.youtube.com/@Activatica,https://www.youtube.com/results?search_query=%D0%BB%D1%83%D1%87%D1%88%D0%B8%D0%B5+%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B8%D0%B5+%D1%81%D0%BE%D0%B1%D1%8B%D1%82%D0%B8%D1%8F+%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3&hl=ru,https://www.youtube.com/watch?v=rXfc23kaS7A
f40e06a33ecdae108c57,Aerial Aerial,author_or_channel,aerialaerial906,manual_only,55,needs_manual_review,,False,youtube,https://www.youtube.com/@aerialaerial906,aerialaerial906,,unknown,original_profile_opened,https://www.youtube.com/@aerialaerial906,https://www.youtube.com/results?search_query=%D0%9A%D1%83%D1%80%D0%BE%D1%80%D1%82%D0%BD%D1%8B%D0%B9+%D1%80%D0%B0%D0%B9%D0%BE%D0%BD+%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3+%D0%B1%D0%BB%D0%BE%D0%B3&hl=ru,https://www.youtube.com/watch?v=SLGHAM2-G8U
51dde41d718c638ecfbc,AGSUM 65,author_or_channel,agsum1973,manual_only,70,worth_checking,,False,youtube,https://www.youtube.com/@agsum1973,agsum1973,1450,nano,original_profile_opened,https://www.youtube.com/@agsum1973,https://www.youtube.com/results?search_query=%D0%9F%D1%80%D0%B8%D0%BC%D0%BE%D1%80%D1%81%D0%BA%D0%B8%D0%B9+%D1%80%D0%B0%D0%B9%D0%BE%D0%BD+%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3+%D0%B1%D0%BB%D0%BE%D0%B3&hl=ru,https://www.youtube.com/watch?v=OHpj6XycTsE
bf2ed3fadceca0cf9a23,Aleksandr V,author_or_channel,AleksandrV-e7r,manual_only,70,worth_checking,,False,youtube,https://www.youtube.com/@AleksandrV-e7r,AleksandrV-e7r,40,nano,original_profile_opened,https://www.youtube.com/@AleksandrV-e7r,https://www.youtube.com/results?search_query=%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3+%D1%80%D0%B5%D0%BA%D0%BE%D0%BC%D0%B5%D0%BD%D0%B4%D0%B0%D1%86%D0%B8%D0%B8&hl=ru,https://www.youtube.com/watch?v=g68vkDIPEsc
